city,male,female
Ouro Branco (MG),17576,17691
Iturama (MG),17294,17156
Várzea da Palma (MG),18149,17656
Bom Jardim (PE),18475,19346
Curitibanos (SC),18521,19226
Esperantina (PI),18776,18989
Afuá (PA),18450,16586
Tijucas (SC),15492,15464
Jaíba (MG),17343,16239
São João Batista (SC),13287,12971
Santa Maria da Vitória (BA),20330,19966
Presidente Venceslau (SP),18906,18994
José de Freitas (PI),18519,18554
Torres (RS),16834,17820
Massapê (CE),17440,17745
Jacarezinho (PR),19135,19984
Marataízes (ES),16875,17261
Igarapé-Açu (PA),18117,17764
Rosário do Sul (RS),19309,20392
Pedreiras (MA),18855,20580
Canaã dos Carajás (PA),13585,13129
São Gabriel da Palha (ES),15903,15950
Penalva (MA),17401,16859
Santa Helena de Goiás (GO),18317,18147
Rio Brilhante (MS),15709,14947
Careiro (AM),16990,15742
Pedro II (PI),18442,19049
Iperó (SP),15208,13090
São Fidélis (RJ),18391,19142
Santa Rita (MA),16322,16034
Nova Olinda do Norte (AM),15747,14941
Itaitinga (CE),18288,17527
Bodocó (PE),17619,17534
Matozinhos (MG),16758,17195
Aliança (PE),18576,18835
Capelinha (MG),17145,17655
São Gonçalo dos Campos (BA),16019,17256
Rio Pardo (RS),18317,19269
Dom Pedrito (RS),19105,19785
Bonito (PE),18575,18982
Presidente Figueiredo (AM),14350,12824
Portão (RS),15513,15405
Ipueiras (CE),18528,19327
Pentecoste (CE),17896,17497
Guaratuba (PR),15974,16119
Castelo (ES),17399,17346
Posse (GO),15922,15494
Esplanada (BA),16329,16459
Porteirinha (MG),18826,18793
Igrejinha (RS),15461,16199
Nossa Senhora da Glória (SE),16075,16418
José Bonifácio (SP),16350,16409
Santaluz (BA),16618,17213
Extrema (MG),14414,14184
Custódia (PE),16651,17197
Amargosa (BA),16639,17693
Agudos (SP),17076,17447
Nova Cruz (RN),17495,17975
Afogados da Ingazeira (PE),16786,18296
São Caetano (PE),17202,18069
Água Preta (PE),16609,16484
Itaqui (RS),19033,19120
Bom Jesus do Itabapoana (RJ),17194,18206
Vassouras (RJ),16390,18012
Petrolândia (PE),15946,16544
Oeiras (PI),17041,18597
Pimenta Bueno (RO),17041,16780
Aguaí (SP),16217,15931
Campo Novo do Parecis (MT),14502,13074
Brejo (MA),16880,16472
Gramado (RS),15672,16600
Campos Novos (SC),16255,16565
São João da Barra (RJ),16227,16515
Fraiburgo (SC),17160,17392
Araçuaí (MG),17846,18158
Ananás (TO),4980,4882
Itambé (PE),17482,17909
Guarantã do Norte (MT),16511,15703
São Pedro (SP),15421,16237
Angico (TO),1673,1502
Rio das Pedras (SP),14914,14585
Aparecida (SP),16898,18105
Ilhabela (SP),14329,13867
Sertânia (PE),16499,17286
Itapicuru (BA),16464,15791
Itiúba (BA),18311,17787
Baturité (CE),16394,16923
Barra Bonita (SP),17251,17991
Eirunepé (AM),15777,14885
Marialva (PR),15795,16162
São Gotardo (MG),16094,15718
Santana do Paraíso (MG),13663,13600
Apodi (RN),17373,17384
Cravinhos (SP),15889,15800
Bariri (SP),15816,15776
Ibaté (SP),15813,14919
Turiaçu (MA),17623,16307
Garibaldi (RS),15221,15466
Riacho de Santana (BA),15592,15043
Matinhos (PR),14335,15092
Peixoto de Azevedo (MT),15969,14840
Porto União (SC),16447,17045
Barra do Bugres (MT),16551,15241
Missão Velha (CE),16914,17353
Curralinho (PA),15053,13481
Paracuru (CE),15851,15778
Morro do Chapéu (BA),17688,17470
Poço Redondo (SE),15762,15109
Ouro Preto do Oeste (RO),18698,19229
Camamu (BA),17889,17274
Além Paraíba (MG),16537,17803
Araçoiaba da Serra (SP),13606,13689
João Câmara (RN),16036,16179
Pilar (AL),16166,17132
Cachoeira do Piriá (PA),13720,12764
Ubajara (CE),15759,16022
Pilão Arcado (BA),16678,16173
Juara (MT),16956,15832
Jaguariaíva (PR),16092,16512
Adamantina (SP),16373,17420
Piumhi (MG),15849,16030
Itamarandiba (MG),16143,16030
Parnarama (MA),17520,17059
Santa Cruz das Palmeiras (SP),15222,14709
Bom Jesus das Selvas (MA),14872,13586
Curaçá (BA),16465,15697
Armação dos Búzios (RJ),13742,13815
Itaporanga d'Ajuda (SE),15156,15250
São Raimundo Nonato (PI),15896,16429
Padre Bernardo (GO),13987,13672
Feijó (AC),16714,15695
Boca do Acre (AM),15946,14684
Itapemirim (ES),15533,15449
Cansanção (BA),16559,16339
Tanguá (RJ),15288,15439
Rio Preto da Eva (AM),13405,12311
São Luís do Quitunde (AL),16324,16078
Guanhães (MG),15199,16056
Canguaretama (RN),15467,15428
Capela (SE),15267,15484
Cabrobó (PE),15052,15820
São Desidério (BA),14529,13128
Quedas do Iguaçu (PR),15396,15205
Estrela (RS),15118,15498
Taiobeiras (MG),15112,15795
São Bento (PB),15220,15657
Rio Negro (PR),15570,15704
Mandaguari (PR),16035,16620
Jaguaribe (CE),16824,17573
Pomerode (SC),13904,13855
São Luís de Montes Belos (GO),14731,15300
São Sebastião (AL),15850,16157
São Domingos do Maranhão (MA),16902,16703
Goiatuba (GO),16214,16272
Braço do Norte (SC),14533,14485
Teutônia (RS),13523,13748
Concórdia do Pará (PA),14589,13624
São José do Egito (PE),15518,16307
Gurupá (PA),15397,13659
Domingos Martins (ES),16094,15752
Palmeira (PR),16046,16076
Matões (MA),15578,15429
Descalvado (SP),15328,15725
São José do Belmonte (PE),16241,16374
Eldorado do Carajás (PA),16813,14972
Sarzedo (MG),12871,12942
Almeirim (PA),17467,16145
Penha (SC),12538,12603
Manaquiri (AM),11742,11055
Jaguaruana (CE),16075,16156
Ouro Fino (MG),15815,15748
Jaguarari (BA),15435,14895
Miguel Alves (PI),16357,15926
Monção (MA),16191,15544
Colíder (MT),15552,15213
Ourilândia do Norte (PA),14270,13089
Cachoeira Paulista (SP),14749,15341
Urbano Santos (MA),12369,12199
Touros (RN),16067,15019
Cachoeira (BA),15452,16562
Monteiro (PB),14984,15862
Conceição do Jacuípe (BA),14559,15558
Morro Agudo (SP),14879,14236
João Alfredo (PE),14870,15868
Dois Irmãos (RS),13651,13918
Coxim (MS),16139,16016
Barrinha (SP),14321,14175
Riachão do Jacuípe (BA),16164,16996
Guaíra (PR),14931,15770
Floresta (PE),14431,14853
Caçapava do Sul (RS),16328,17358
Esperança (PB),15153,15936
Poconé (MT),16518,15256
Maragogi (AL),14513,14231
Assis Chateaubriand (PR),16177,16847
Imbituva (PR),14390,14065
Biritiba Mirim (SP),14413,14162
Guararapes (SP),15090,15506
Paraipaba (CE),15290,14747
Barão de Cocais (MG),14069,14370
Pindaré-Mirim (MA),15241,15907
Oeiras do Pará (PA),15016,13574
São Luiz Gonzaga (RS),16825,17722
Osvaldo Cruz (SP),15550,15362
São Miguel Arcanjo (SP),15992,15449
Três Marias (MG),14073,14241
Carangola (MG),15691,16597
Espigão d'Oeste (RO),14606,14122
Palmeira das Missões (RS),16640,17679
Vitória do Mearim (MA),15563,15648
Barreirinha (AM),14312,13035
Vicência (PE),15182,15546
Bela Cruz (CE),15701,15175
Santana do Acaraú (CE),15170,14773
Arame (MA),16479,15217
Pombal (PB),15380,16725
Santa Fé do Sul (SP),14082,15154
Gandu (BA),15102,15227
Pinhão (PR),15178,15025
São Joaquim de Bicas (MG),13741,11796
Nazaré da Mata (PE),14742,16045
Irituia (PA),16257,15098
Cícero Dantas (BA),15857,16438
Rio Branco do Sul (PR),15540,15102
Cururupu (MA),16599,16052
Nova Russas (CE),15023,15936
São José da Tapera (AL),14849,15236
Brasília de Minas (MG),15590,15617
Palotina (PR),13996,14684
Medicilândia (PA),14888,12440
Santo Antônio do Tauá (PA),13432,13238
Placas (PA),12568,11366
Itatiaia (RJ),14211,14570
São Domingos do Capim (PA),15740,14102
Paratinga (BA),14928,14571
Macau (RN),14180,14766
Pompéu (MG),14637,14466
Correntina (BA),15759,15483
Aurora do Pará (PA),13620,12925
Nova Mamoré (RO),11735,10810
Laranjeiras do Sul (PR),14990,15782
Tabuleiro do Norte (CE),14213,14986
Confresa (MT),13347,11776
Camacan (BA),15729,15728
Ponta de Pedras (PA),13376,12616
Bagre (PA),12135,11725
Alto Alegre do Pindaré (MA),16020,15031
Mocajuba (PA),13744,12977
Pires do Rio (GO),14105,14652
Ivaiporã (PR),15419,16393
Santa Bárbara (MG),13667,14204
Ibaiti (PR),14472,14277
Juquitiba (SP),14543,14194
Exu (PE),15482,16149
Frederico Westphalen (RS),14127,14714
Mateus Leme (MG),13811,14042
Espinosa (MG),15289,15817
Jaguaré (ES),12468,12209
Raposa (MA),13120,13203
Gameleira (PE),14102,13809
Tracuateua (PA),14328,13126
Vitorino Freire (MA),15720,15936
Ipubi (PE),13855,14264
Minas Novas (MG),15350,15438
Conceição da Barra (ES),14156,14285
Lavras da Mangabeira (CE),15566,15517
Candelária (RS),14752,15417
Iporá (GO),15300,15967
Careiro da Várzea (AM),12687,11240
Barra dos Coqueiros (SE),12211,12761
Cândido Mota (SP),14657,15221
Parambu (CE),15260,16046
Rorainópolis (RR),12922,11355
Guaçuí (ES),13685,14160
Serra do Ramalho (BA),16374,15260
Flores da Cunha (RS),13552,13574
Novo Cruzeiro (MG),15255,15457
Sooretama (ES),12132,11707
Baixo Guandu (ES),14214,14856
Jarinu (SP),12005,11842
Ipixuna (AM),11354,10899
Rio Pardo de Minas (MG),14831,14263
Iguape (SP),14461,14375
Trindade (PE),12896,13219
Sombrio (SC),13070,13540
Soledade (RS),14729,15311
Bandeirantes (PR),15549,16631
Capim Grosso (BA),12996,13573
Caarapó (MS),12916,12846
Bela Vista de Goiás (GO),12610,11939
Nerópolis (GO),11923,12285
Itabela (BA),14474,13907
Ruy Barbosa (BA),14547,15332
Canindé de São Francisco (SE),12293,12390
Glória do Goitá (PE),14162,14853
Barra do Choça (BA),17549,17230
Arraial do Cabo (RJ),13626,14088
Catolé do Rocha (PB),14025,14728
Pau dos Ferros (RN),13513,14226
Igarapava (SP),13839,14105
Canavieiras (BA),16086,16243
Joaçaba (SC),13008,14009
Casa Branca (SP),14997,13308
Carlos Barbosa (RS),12662,12528
Luís Correia (PI),14592,13810
Barra Velha (SC),11103,11282
Nova Santa Rita (RS),11441,11273
Guararema (SP),12998,12844
Mãe do Rio (PA),13740,14164
Carmo do Paranaíba (MG),15051,14682
Laranjeiras (SE),13128,13769
Afonso Cláudio (ES),15686,15401
Anchieta (ES),12062,11839
Triunfo (RS),12932,12858
Campo Magro (PR),12507,12334
Anajás (PA),12955,11801
Cambuí (MG),13232,13252
Arari (MA),14312,14169
Piraju (SP),13825,14647
Palmeiras de Goiás (GO),11816,11517
Alegre (ES),15283,15476
Mirandópolis (SP),15054,12424
Prainha (PA),15516,13831
Piraí (RJ),12916,13396
Propriá (SE),13846,14596
Rancharia (SP),14153,14647
Bujaru (PA),13335,12356
Codajás (AM),12106,11093
Pitanga (PR),16249,16383
Serra Negra (SP),12865,13519
Limoeiro do Ajuru (PA),13114,11900
Pilar do Sul (SP),13415,12989
Ibimirim (PE),13348,13603
Maracanã (PA),14694,13670
Itaperuçu (PR),11983,11901
Taquaritinga do Norte (PE),12332,12569
Muritiba (BA),13724,15167
Iúna (ES),13639,13688
Iguaba Grande (RJ),11046,11799
Anapu (PA),10992,9551
Irará (BA),13295,14161
Santa Vitória do Palmar (RS),15467,15519
Extremoz (RN),12193,12370
Xaxim (SC),12776,12934
Timbiras (MA),14089,13903
Redenção (CE),13122,13292
Humberto de Campos (MA),13682,12501
Paripiranga (BA),13667,14104
Miranda do Norte (MA),11807,12612
Carinhanha (BA),14523,13853
Baraúna (RN),12270,11909
Valente (BA),12150,12405
Cláudio (MG),13087,12681
Caetés (PE),13172,13402
Itacaré (BA),12695,11620
Laranjal Paulista (SP),12464,12785
Piracuruca (PI),13628,13923
Três Coroas (RS),11837,12009
Buriti (MA),13678,13332
Campos Gerais (MG),14064,13534
Limoeiro de Anadia (AL),13423,13568
Ituberá (BA),13385,13195
Tabira (PE),12965,13459
Passira (PE),13980,14643
Campo Alegre de Lourdes (BA),14141,13942
São Bernardo (MA),13355,13118
Porto da Folha (SE),13881,13261
Conceição das Alagoas (MG),12049,10993
Novo Oriente (CE),13548,13904
Goioerê (PR),14004,15010
Carauari (AM),13259,12512
Nazaré (BA),13222,14045
Santa Rita de Cássia (BA),13572,12674
Pedras de Fogo (PB),13466,13563
Santo Antônio do Monte (MG),13194,12777
Marapanim (PA),13882,12718
Elói Mendes (MG),12488,12729
Oiapoque (AP),10704,9804
Pontal do Paraná (PR),10357,10563
Minaçu (GO),15835,15317
Conchal (SP),12757,12471
Arapoti (PR),12948,12906
Cajati (SP),14327,14043
Pitangui (MG),12544,12762
Murici (AL),13273,13430
Miranda (MS),13216,12373
Alagoa Grande (PB),13861,14614
Olindina (BA),12287,12651
Alexânia (GO),12008,11803
Presidente Tancredo Neves (BA),12205,11627
Nísia Floresta (RN),12287,11490
Prado (BA),13990,13634
Buritizeiro (MG),13529,13390
Prata (MG),13272,12526
Areia Branca (RN),12344,12967
Mirassol d'Oeste (MT),12684,12613
Melgaço (PA),13225,11580
Candeias do Jamari (RO),10320,9458
Alto Alegre do Maranhão (MA),12274,12321
Nova Esperança (PR),13019,13589
Santa Cruz Cabrália (BA),13330,12928
Nova Prata (RS),11303,11525
Pirapozinho (SP),12082,12608
Coromandel (MG),13956,13588
Paty do Alferes (RJ),12817,13536
Traipu (AL),12949,12750
Cocal (PI),13162,12868
São José do Norte (RS),13002,12499
Santa Gertrudes (SP),10954,10680
Juatuba (MG),11216,10983
Marco (CE),12599,12103
Água Azul do Norte (PA),13617,11439
Tupanatinga (PE),12113,12309
Bom Jardim (RJ),12720,12612
Barcelos (AM),13815,11901
Lagoa Vermelha (RS),13563,13958
Mandirituba (PR),11315,10905
Lagoa Seca (PB),12741,13148
Dois Córregos (SP),12416,12343
São Miguel do Iguaçu (PR),12855,12909
Jaciara (MT),12980,12664
Quijingue (BA),14008,13209
São Gabriel do Oeste (MS),11199,11003
Mantena (MG),13083,14021
Santa Rita do Passa Quatro (SP),12811,13664
Itaí (SP),12761,11247
Forquilhinha (SC),11307,11241
Piracaia (SP),12513,12602
Pinheiros (ES),12004,11880
Campos Sales (CE),12706,13795
Sapezal (MT),9776,8318
Ubatã (BA),12484,12512
Boca da Mata (AL),12766,13006
Icatu (MA),13085,12046
Milagres (CE),13925,14388
Ipameri (GO),12438,12287
Porto Calvo (AL),12753,12950
Vera Cruz (RS),11749,12234
Lapão (BA),13081,12559
São Joaquim (SC),12433,12376
Sanharó (PE),10760,11195
São Sebastião da Boa Vista (PA),11831,11068
Belo Oriente (MG),11621,11774
Pombos (PE),11880,12159
Jardim (CE),13066,13615
Anajatuba (MA),12956,12329
Valparaíso (SP),12412,10161
Mundo Novo (BA),12363,12024
Itapissuma (PE),12007,11752
Miracema (RJ),13026,13812
Cujubim (RO),8456,7398
Brasiléia (AC),11037,10360
Ilha de Itamaracá (PE),12564,9316
Ibotirama (BA),12801,12621
Nova Soure (BA),12128,12004
Santa Helena (PR),11505,11907
Caririaçu (CE),12812,13579
Iguaí (BA),13120,12574
Goianinha (RN),11201,11272
Boquim (SE),12531,12988
Aldeias Altas (MA),12395,11555
Santa Rosa de Viterbo (SP),11781,12080
Nossa Senhora das Dores (SE),12126,12450
Batalha (PI),13043,12723
Vila Rica (MT),11187,10193
Mutum (MG),13472,13176
Reserva (PR),12925,12243
Taquari (RS),12689,13403
Ilha Solteira (SP),12199,12863
Nepomuceno (MG),12832,12901
Veranópolis (RS),11102,11705
Santana (BA),12550,12199
Martinópolis (SP),12601,11616
Corrente (PI),12842,12562
Ibatiba (ES),11287,11074
Condado (PE),11844,12436
Água Boa (MT),10932,9924
Coração de Jesus (MG),13184,12846
Cajuru (SP),11698,11671
Aracoiaba (CE),12787,12597
Planalto (BA),12091,12384
Pedro Canário (ES),11900,11890
Santa Isabel do Rio Negro (AM),9321,8822
Sacramento (MG),12128,11763
Jacutinga (MG),11334,11436
São João Nepomuceno (MG),12181,12874
Guaiúba (CE),12139,11949
Bom Jesus dos Perdões (SP),9922,9784
Chapadão do Sul (MS),10276,9371
Canarana (BA),12125,11940
Maravilha (SC),10907,11194
Francisco Sá (MG),12941,11964
Novo Aripuanã (AM),11427,10020
Tacaratu (PE),11158,10908
Panelas (PE),12585,13053
Aparecida do Rio Negro (TO),2170,2042
Aparecida do Taboado (MS),11152,11163
Jardim (MS),12126,12214
Castro Alves (BA),12267,13134
Jaguarão (RS),13588,14339
Quipapá (PE),11916,12265
Astorga (PR),12141,12556
Itaíba (PE),13041,13211
Tanabi (SP),12042,12009
Conde (BA),11831,11777
Venda Nova do Imigrante (ES),10335,10112
Tamboril (CE),12629,12817
Guaporé (RS),11124,11689
Independência (CE),12739,12825
São Sebastião do Caí (RS),10737,11194
Garrafão do Norte (PA),13105,11927
Itinga do Maranhão (MA),12588,12274
Turilândia (MA),11481,11364
Formosa do Rio Preto (BA),11659,10867
Lagoa Grande (PE),11315,11442
Mimoso do Sul (ES),13039,12858
Bom Jesus de Goiás (GO),10757,9968
São João dos Patos (MA),12210,12716
Solânea (PB),12762,13927
Encruzilhada do Sul (RS),12322,12209
Ocara (CE),12316,11687
São Domingos do Araguaia (PA),11901,11227
Pirajuí (SP),12569,10134
Santa Quitéria do Maranhão (MA),14736,14452
Carandaí (MG),11561,11783
Umbaúba (SE),10997,11431
Piraí do Sul (PR),11620,11803
Miguel Calmon (BA),13196,13272
Novo Progresso (PA),13434,11689
Soure (PA),11472,11528
Iraquara (BA),11244,11355
Angatuba (SP),11245,10965
Pereira Barreto (SP),12270,12692
São Gonçalo do Sapucaí (MG),11924,11980
Viçosa (AL),12409,12989
Monte Aprazível (SP),10813,10931
Miguel Pereira (RJ),11717,12921
Ituporanga (SC),11095,11153
Cedro (CE),12106,12417
João Dourado (BA),11382,11166
Brodowski (SP),10465,10642
Potim (SP),10974,8421
Itapuranga (GO),12919,13200
Igaci (AL),12270,12910
Bom Jesus (PI),11302,11323
Cambará (PR),11647,12235
Macaparana (PE),11662,12249
Pinheiral (RJ),11032,11685
Pedro do Rosário (MA),11835,10893
Jequitinhonha (MG),12270,11851
Quissamã (RJ),10043,10198
Luzilândia (PI),12399,12316
Ibiá (MG),11857,11358
Governador Nunes Freire (MA),12862,12537
Santa Luzia do Paruá (MA),11377,11267
Itaporã (MS),10405,10454
Capivari de Baixo (SC),10497,11174
Tupaciguara (MG),12083,12099
Capão do Leão (RS),11961,12335
Queimadas (BA),12283,12314
Senador Pompeu (CE),13014,13444
Conde (PB),10761,10637
Anastácio (MS),11910,11921
Piranhas (AL),11293,11749
Ribas do Rio Pardo (MS),10982,9963
Espera Feliz (MG),11502,11352
Agrestina (PE),10935,11741
Pirenópolis (GO),11795,11203
Mata Grande (AL),12331,12363
Buritis (MG),11551,11185
Ibiapina (CE),11931,11872
Piritiba (BA),11287,11103
Santa Maria do Pará (PA),11491,11533
Cruz (CE),11091,11388
Aimorés (MG),12059,12892
Cordeirópolis (SP),10599,10480
Álvares Machado (SP),11640,11873
Ivoti (RS),9801,10073
São João da Ponte (MG),13122,12230
Sarandi (RS),10269,11012
Amélia Rodrigues (BA),12280,12904
Iracemápolis (SP),10046,9983
Tapejara (RS),9392,9858
Itaporanga (PB),11388,11800
Jucás (CE),11765,12039
Guabiruba (SC),9350,9079
Cândido Sales (BA),14031,13882
Brotas (SP),10710,10869
Paraopeba (MG),11130,11428
Bela Vista (MS),11720,11456
Igaraçu do Tietê (SP),11653,11707
Canhotinho (PE),12365,12152
Junqueiro (AL),11742,12087
Forquilha (CE),10786,10997
Igreja Nova (AL),11746,11539
Matriz de Camaragibe (AL),11595,12184
São Jerônimo (RS),11024,11108
Aurora (CE),12223,12342
São Geraldo do Araguaia (PA),13092,12492
Piracanjuba (GO),12191,11829
São Lourenço do Oeste (SC),10828,10963
São José da Lapa (MG),9825,9972
Irauçuba (CE),11346,10973
Santo Antônio (RN),11098,11114
Craíbas (AL),11156,11482
Salvaterra (PA),10290,9890
Balneário Piçarras (SC),8521,8555
Itabaiana (PB),11849,12620
Cachoeira do Arari (PA),10544,9896
Pedra Azul (MG),11739,12092
Pão de Açúcar (AL),11756,12051
Porto Franco (MA),10846,10679
Colorado (PR),11042,11302
Rio Tinto (PB),11310,11666
Quatro Barras (PR),9955,9894
Monte Sião (MG),10653,10548
Cupira (PE),11047,12337
Carambeí (PR),9700,9461
Laje (BA),11282,10906
Tupanciretã (RS),10863,11412
Chaves (PA),11176,9821
Joaquim Gomes (AL),11516,11055
Carolina (MA),12284,11669
Urucurituba (AM),9528,8305
Carutapera (MA),11336,10666
Apiaí (SP),12577,12610
Garopaba (SC),9127,9011
São José da Laje (AL),11171,11510
Ladário (MS),9829,9788
Inajá (PE),9554,9523
Inhapim (MG),12128,12158
Poço Verde (SE),10865,11116
Buriti Bravo (MA),11325,11574
Uauá (BA),12216,12067
Orobó (PE),11066,11805
Bambuí (MG),11251,11480
Iaçu (BA),12629,13090
Santa Terezinha de Itaipu (PR),10195,10639
Santo Amaro da Imperatriz (SC),9984,9838
Caraí (MG),11297,11041
Santa Teresa (ES),10914,10908
Tamandaré (PE),10409,10304
Itapaci (GO),9378,9078
Três de Maio (RS),11484,12238
Três Passos (RS),11748,12208
São João do Paraíso (MG),11163,11153
São Miguel (RN),10572,11585
Princesa Isabel (PB),10448,10832
Santo Antônio de Posse (SP),10412,10238
Imbé (RS),8663,9007
Rio Formoso (PE),11127,11023
João Lisboa (MA),9977,10403
Raul Soares (MG),11728,12087
Bataguassu (MS),10090,9749
Corinto (MG),11759,12151
Matinha (MA),11024,10854
Conceição de Macabu (RJ),10549,10656
Belmonte (BA),11158,10636
Assaré (CE),11080,11362
Peritoró (MA),10569,10631
São Sepé (RS),11777,12017
Senador Guiomard (AC),10327,9851
São João de Pirabas (PA),10753,9881
Ibirapitanga (BA),11532,11061
Pancas (ES),11001,10545
Caculé (BA),11130,11093
Teodoro Sampaio (SP),10662,10718
Dom Pedro (MA),10950,11731
Loanda (PR),10445,10751
Mandaguaçu (PR),9853,9928
Araçariguama (SP),8696,8383
Coreaú (CE),10943,11008
Taquarituba (SP),11092,11198
Ivinhema (MS),11267,11071
Sobradinho (BA),10797,11200
Abaeté (MG),11229,11458
Tambaú (SP),11172,11232
Paranatinga (MT),10309,8978
Capinzal (SC),10232,10535
Itaocara (RJ),11190,11704
Itambacuri (MG),11030,11771
Orleans (SC),10633,10759
São Miguel do Guaporé (RO),11328,10500
Aripuanã (MT),10076,8579
Encantado (RS),9931,10577
Caridade (CE),10123,9895
São João (PE),10439,10867
Altinho (PE),11105,11245
Conselheiro Pena (MG),10753,11484
Nova Alvorada do Sul (MS),8476,7954
Conceição da Feira (BA),9920,10467
Porto Grande (AP),8870,7934
Amaraji (PE),10983,10955
Carmo do Cajuru (MG),10029,9982
Manhumirim (MG),10518,10863
Barro (CE),10627,10884
Morrinhos (CE),10440,10257
Aragominas (TO),3138,2743
Herval d'Oeste (SC),10496,10740
Ecoporanga (ES),11561,11644
Medeiros Neto (BA),11045,10504
Apuí (AM),9550,8456
Terenos (MS),9144,8000
Pedra (PE),10473,10468
Barreira (CE),9735,9833
Acreúna (GO),10378,9900
Araguacema (TO),3330,2986
Monte Alegre (RN),10274,10408
Rafael Jambeiro (BA),11128,11736
Caracaraí (RR),9731,8666
Flores (PE),10937,11229
Schroeder (SC),7801,7515
Teofilândia (BA),10801,10681
Hidrolândia (GO),8942,8454
Quaraí (RS),11228,11793
Chapada dos Guimarães (MT),9293,8525
Alta Floresta d'Oeste (RO),12656,11736
Alcobaça (BA),10813,10453
Areia (PB),11664,12153
Miguelópolis (SP),10204,10246
Itambé (BA),11578,11502
Mazagão (AP),8974,8056
Porto Belo (SC),7998,8083
São Vicente Ferrer (MA),10577,10281
Itaparica (BA),10165,10555
Quixeré (CE),9704,9702
Ceres (GO),10142,10575
Bonito (MS),9878,9707
Carira (SE),9969,10037
Coração de Maria (BA),10838,11556
Piúma (ES),8956,9167
Fundão (ES),8487,8533
Feira Nova (PE),9969,10597
Mutuípe (BA),10590,10845
Riachão das Neves (BA),11438,10495
Pompeia (SP),9793,10170
Palmital (SP),10352,10832
Diamantino (MT),10512,9829
Altônia (PR),10156,10357
Alto Paraíso (RO),9021,8112
Santa Maria das Barreiras (PA),9497,7709
Pradópolis (SP),8882,8493
Cantanhede (MA),10251,10187
Trizidela do Vale (MA),9141,9810
Uruburetama (CE),9924,9839
Parnamirim (PE),10276,9942
Feira Grande (AL),10560,10757
Caravelas (BA),10870,10538
Cordeiro (RJ),9781,10645
Nova Hartz (RS),9072,9274
Alcântara (MA),11257,10589
Goiás (GO),12256,12467
Anicuns (GO),10407,9831
Manari (PE),9128,8955
Canarana (MT),9650,9104
Guapiaçu (SP),9029,8838
Caaporã (PB),10090,10271
Cassilândia (MS),10461,10500
Centro Novo do Maranhão (MA),9331,8291
São José do Vale do Rio Preto (RJ),10144,10105
Lucélia (SP),10555,9321
Itatira (CE),9589,9304
Anori (AM),8508,7805
Colônia Leopoldina (AL),10070,9944
Chã Grande (PE),9981,10154
Mari (PB),10366,10806
Itaiópolis (SC),10409,9892
Nova Granada (SP),9659,9520
São Francisco de Paula (RS),10402,10131
São José da Coroa Grande (PE),8866,9308
São Miguel do Araguaia (GO),11391,10889
Palmas de Monte Alto (BA),10598,10173
Camanducaia (MG),10857,10222
Santa Bárbara do Pará (PA),8754,8384
Oliveira dos Brejinhos (BA),11127,10698
Aquidabã (SE),9801,10246
Ortigueira (PR),12078,11297
Vargem Alta (ES),9827,9303
Paramirim (BA),10563,10423
Silva Jardim (RJ),10806,10541
Maracaçumé (MA),9593,9561
Itapoá (SC),7447,7313
Itapecerica (MG),10602,10771
São Marcos (RS),9859,10242
Madre de Deus (BA),8376,8999
Uruçuí (PI),9907,10237
Nova Petrópolis (RS),9369,9673
Engenheiro Coelho (SP),8233,7487
Nhamundá (AM),9496,8781
Araripe (CE),10292,10392
Nova Xavantina (MT),10028,9615
Paraguaçu (MG),10177,10064
Olho d'Água das Flores (AL),9722,10638
Parelhas (RN),9961,10390
Itaquiraí (MS),9712,8900
Rolante (RS),9766,9716
Perdões (MG),9873,10210
Paraibano (MA),9874,10224
Caxambu (MG),10526,11175
Castilho (SP),8975,9027
Nova Esperança do Piriá (PA),10643,9514
Monte Santo de Minas (MG),10685,10544
Lagoa de Itaenga (PE),10070,10587
Boquira (BA),10854,11177
Siqueira Campos (PR),9206,9247
Costa Rica (MS),10245,9445
São Joaquim do Monte (PE),10195,10290
Taperoá (BA),9583,9158
Urussanga (SC),9935,10287
Cajueiro (AL),10077,10329
Guará (SP),9884,9974
Buritirama (BA),10201,9398
Cunha (SP),11163,10702
Paraisópolis (MG),9785,9591
São José do Rio Claro (MT),9184,7939
Monte Alegre de Minas (MG),10050,9566
Orós (CE),10421,10965
Canto do Buriti (PI),9953,10063
São Simão (GO),8863,8221
Bequimão (MA),10348,9988
Carmo do Rio Claro (MG),10483,9942
Jandaia do Sul (PR),9880,10389
Pio XII (MA),11003,11010
Capela do Alto (SP),9038,8494
Comodoro (MT),9376,8802
Quiterianópolis (CE),9851,10068
Anagé (BA),12889,12621
Nova Olinda do Maranhão (MA),9581,9549
Bananeiras (PB),10783,11065
Crisópolis (BA),10235,9810
Vertentes (PE),8935,9279
Itatinga (SP),9230,8822
Arroio do Meio (RS),9353,9430
Pinhalzinho (SC),8177,8154
Paulo Ramos (MA),10127,9946
São Francisco do Guaporé (RO),8415,7620
Ibicaraí (BA),11883,12378
São Felipe (BA),10082,10211
Campestre (MG),10764,9921
Mirador (MA),10453,9992
Catarina (CE),9301,9438
Itaobim (MG),10490,10501
Lambari (MG),9640,9913
Alagoa Nova (PB),9758,9920
Barroso (MG),9550,10048
Junqueirópolis (SP),9920,8803
