city,male,female
Mogi Guaçu (SP),68092,69147
Parnaíba (PI),69723,75961
Jaú (SP),64210,66817
Alagoinhas (BA),67196,74690
Porto Seguro (BA),63482,63427
Queimados (RJ),66584,71372
Botucatu (SP),61756,65557
Balneário Camboriú (SC),51389,56693
Sinop (MT),57563,55534
Araucária (PR),59605,59512
Atibaia (SP),62208,64386
Santana de Parnaíba (SP),53671,55139
Toledo (PR),58334,60974
Sapucaia do Sul (RS),63745,67203
Garanhuns (PE),60970,68404
Teófilo Otoni (MG),64455,70239
Cametá (PA),62011,58865
Brusque (SC),52399,53097
Vitória de Santo Antão (PE),62402,67542
Barbacena (MG),60159,66114
Santa Rita (PB),58109,62169
Sabará (MG),60826,65433
Varginha (MG),59955,63119
Apucarana (PR),58680,62233
Simões Filho (BA),58010,60021
Araras (SP),58683,60149
Itaguaí (RJ),54408,54680
Araruama (RJ),54279,57708
Marituba (PA),53881,54350
São Félix do Xingu (PA),48688,42648
Campo Largo (PR),55660,56716
Pinhais (PR),56808,60197
São Mateus (ES),53925,55085
Crato (CE),57612,63799
Resende (RJ),58265,61496
Valinhos (SP),52673,54112
Cubatão (SP),59229,59486
Santa Cruz do Sul (RS),56940,61426
Cachoeirinha (RS),57171,61099
Trindade (GO),51438,53031
Vespasiano (MG),51003,53515
Itapipoca (CE),58237,57815
Maranguape (CE),56617,56933
Ji-Paraná (RO),57821,58784
Conselheiro Lafaiete (MG),56383,60125
Bragança (PA),57288,55931
Barcarena (PA),50339,49501
Guarapari (ES),51489,53785
Sertãozinho (SP),54697,55366
Jandira (SP),53061,55278
Uruguaiana (RS),61009,64414
Arapongas (PR),51037,53108
Birigui (SP),53072,55650
Formosa (GO),49955,50119
Paço do Lumiar (MA),50904,54195
Ribeirão Pires (SP),55316,57741
Caraguatatuba (SP),49957,50876
Três Lagoas (MS),50519,51259
Santana (AP),50407,50831
Votorantim (SP),54011,54793
Colatina (ES),54289,57490
Várzea Paulista (SP),53413,53670
Itatiba (SP),50146,51320
Tatuí (SP),53034,54290
Barretos (SP),54162,57927
Codó (MA),57399,60623
Guaratinguetá (SP),53941,58120
Catanduva (SP),54776,58033
Bento Gonçalves (RS),52644,54630
Itabira (MG),52729,57041
Bagé (RS),55801,60973
Senador Canedo (GO),42208,42230
Almirante Tamandaré (PR),51134,52062
Salto (SP),52129,53380
Igarassu (PE),49312,52687
Novo Gama (GO),46671,48342
Poá (SP),51287,54717
Paulo Afonso (BA),51968,56419
Araguari (MG),54154,55630
Ubá (MG),50258,51246
Altamira (PA),49812,49253
Piraquara (PR),48191,45012
Tucuruí (PA),48401,48722
Parintins (AM),52292,49716
Passos (MG),52564,53706
Paragominas (PA),49265,48551
Eunápolis (BA),49385,50789
Ourinhos (SP),49980,53043
São Lourenço da Mata (PE),50012,52868
Paulínia (SP),40665,41475
Açailândia (MA),52111,51929
